 ,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bredasdorp,ZA,68.97,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
1,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
5,Puerto Baquerizo Moreno,EC,68.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
6,Kapaa,US,73.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Sinnamary,GF,84.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
13,Atuona,PF,76.55,clear sky,-9.8,-139.0333,Villa Enata
14,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
15,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
17,Puerto Ayora,EC,69.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Puntilla Aldama,MX,77.47,moderate rain,20.1833,-96.9167,Maison Couturier
21,Cukai,MY,80.55,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
24,Ternate,ID,81.93,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
25,Hilo,US,78.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
31,Galle,LK,76.8,overcast clouds,6.0367,80.217,Amangalla
32,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
34,Mattru,SL,84.16,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
37,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Catemaco,MX,72.34,moderate rain,18.4167,-95.1167,Hotel Playa Cristal
44,Honiara,SB,76.98,scattered clouds,-9.4333,159.95,Heritage Park Hotel
45,Los Llanos De Aridane,ES,72.12,scattered clouds,28.6585,-17.9182,Valle Aridane
48,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Rikitea,PF,68.32,overcast clouds,-23.1203,-134.9692,People ThankYou
52,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
59,Tura,IN,69.31,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
60,Luena,AO,69.4,light rain,-11.7833,19.9167,Hotel Kandamba
63,Ambilobe,MG,78.03,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
66,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Alize Plage
68,Paita,PE,67.57,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
71,Tuy Hoa,VN,74.86,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
73,Karratha,AU,74.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
74,Cidreira,BR,66.78,overcast clouds,-30.1811,-50.2056,Hotel Castelo
77,Lata,PT,76.5,scattered clouds,40.1629,-8.3327,Casa Maquia
86,Sambava,MG,73.09,clear sky,-14.2667,50.1667,Melrose
87,Dimona,IL,74.44,clear sky,31.0667,35.0333,Desert Sounds Hotel
88,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
89,Pakxe,LA,69.96,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
90,Oxford,GB,66.18,clear sky,51.7522,-1.256,Malmaison Oxford
97,Ballina,AU,65.79,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
100,Sao Filipe,CV,80.71,scattered clouds,14.8961,-24.4956,Hotel Xaguate
102,Saldanha,ZA,77.05,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
104,Port Alfred,ZA,69.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
107,Victoria,HK,65.32,overcast clouds,22.2855,114.1577,Mini Central
110,Inhambane,MZ,77.94,broken clouds,-23.865,35.3833,Oceano
112,Huarmey,PE,66.13,scattered clouds,-10.0681,-78.1522,Hotel Miramar
113,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
115,East London,ZA,72.54,broken clouds,-33.0153,27.9116,Tu Casa
117,Matara,LK,77.18,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
119,Mahajanga,MG,84.22,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
121,Paramonga,PE,65.01,broken clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
123,Bosaso,SO,81.84,clear sky,11.2842,49.1816,Red Sea Hotel
124,Cape Town,ZA,72.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
125,Labuhan,ID,77.72,light rain,-6.8844,112.2051,DoubleFAG
126,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
129,Paciran,ID,78.01,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
131,Kavaratti,IN,81.3,overcast clouds,10.5669,72.642,Green leaf
132,Trelew,AR,76.5,clear sky,-43.249,-65.3051,Hotel Touring Club
134,Madocsa,HU,66.94,clear sky,46.6879,18.9579,Esther Guesthouse
136,Gemena,CD,83.59,overcast clouds,3.25,19.7667,Hôtel Goshen
137,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
138,Sibu,MY,79.11,light rain,2.3,111.8167,RH HOTEL (4 Star)
141,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
143,Kruisfontein,ZA,74.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
144,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
151,Namibe,AO,72.27,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
156,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
163,Prabumulih,ID,76.01,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
165,Tamsweg,AT,67.44,clear sky,47.1281,13.811,Eden 44
166,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
168,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
169,Chaman,PK,71.02,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
170,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,Sampit,ID,75.69,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
180,Rafsanjan,IR,75.02,few clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
182,Gizo,SB,81.68,few clouds,-8.103,156.8419,Imagination Island
183,Lahan,NP,70.48,clear sky,26.7296,86.4951,Bhattarai Residence
184,Matay,EG,80.96,few clouds,28.419,30.7792,Nag Aespen
185,Kieta,PG,77.76,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
191,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
199,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
200,Lorengau,PG,82.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
202,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
206,Richards Bay,ZA,76.55,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
207,Arraial Do Cabo,BR,82.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
208,Coihaique,CL,65.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
210,Kiama,AU,65.57,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
212,Santa Fe,AR,69.91,overcast clouds,-31.6333,-60.7,Conquistador Hotel
215,Ancud,CL,74.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
219,Manokwari,ID,80.44,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
220,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
221,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
222,Mareeba,AU,72.32,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
223,Dingle,PH,77.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
