City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Punta Arenas,-53.15,-70.9167,50.11,46,0,32.21,clear sky,CL,2022-10-19 16:59:08
1,Hilo,19.7297,-155.09,80.28,88,91,5.01,overcast clouds,US,2022-10-19 17:00:50
2,Graaff-Reinet,-32.2522,24.5308,88.92,31,92,9.51,overcast clouds,ZA,2022-10-19 17:00:51
3,Ushuaia,-54.8,-68.3,51.46,40,20,16.11,few clouds,AR,2022-10-19 16:58:04
4,Avarua,-21.2078,-159.775,73.45,78,75,5.75,broken clouds,CK,2022-10-19 17:00:52
5,Alofi,-19.0595,-169.9187,76.57,81,22,6.67,few clouds,NU,2022-10-19 17:00:54
6,Mae Hong Son,19.3003,97.9685,68.31,80,0,2.53,clear sky,TH,2022-10-19 17:00:55
7,Otavi,-19.65,17.3333,81.1,25,75,6.53,broken clouds,NA,2022-10-19 17:00:56
8,Danielskuil,-28.1887,23.5395,74.93,35,89,5.97,overcast clouds,ZA,2022-10-19 17:00:57
9,Westport,41.1415,-73.3579,55.15,53,4,11.01,clear sky,US,2022-10-19 16:56:47
10,Belyy Yar,53.6039,91.3903,39.09,80,0,0.0,clear sky,RU,2022-10-19 17:00:58
11,Barrow,71.2906,-156.7887,24.82,86,100,6.91,overcast clouds,US,2022-10-19 17:00:59
12,Keti Bandar,24.1447,67.4497,80.37,67,1,8.32,clear sky,PK,2022-10-19 17:01:00
13,Launceston,-41.45,147.1667,49.15,100,7,4.61,clear sky,AU,2022-10-19 17:01:04
14,Port Alfred,-33.5906,26.891,74.55,84,7,11.7,clear sky,ZA,2022-10-19 17:01:06
15,Dingle,10.9995,122.6711,76.39,90,99,1.9,overcast clouds,PH,2022-10-19 17:01:07
16,East London,-33.0153,27.9116,74.34,85,35,14.29,scattered clouds,ZA,2022-10-19 17:01:09
17,Hermanus,-34.4187,19.2345,64.8,85,59,15.88,broken clouds,ZA,2022-10-19 17:01:10
18,Jamestown,42.097,-79.2353,37.71,94,100,11.5,overcast clouds,US,2022-10-19 16:56:43
19,Atuona,-9.8,-139.0333,76.71,67,15,15.93,few clouds,PF,2022-10-19 17:01:12
20,Tasiilaq,65.6145,-37.6368,33.96,85,43,2.53,scattered clouds,GL,2022-10-19 17:01:14
21,Rikitea,-23.1203,-134.9692,70.12,68,41,17.52,scattered clouds,PF,2022-10-19 17:01:16
22,Coquimbo,-29.9533,-71.3436,62.33,63,20,12.66,few clouds,CL,2022-10-19 16:59:13
23,Nikolskoye,59.7035,30.7861,37.78,91,11,5.28,few clouds,RU,2022-10-19 17:01:18
24,Bimbo,4.2567,18.4158,75.09,89,44,1.23,light rain,CF,2022-10-19 17:01:19
25,Saldanha,-33.0117,17.9442,69.85,94,47,13.18,scattered clouds,ZA,2022-10-19 16:56:39
26,Ribeira Grande,38.5167,-28.7,64.78,82,75,23.02,light intensity shower rain,PT,2022-10-19 17:01:21
27,Khani,41.9563,42.9566,58.57,79,100,2.51,overcast clouds,GE,2022-10-19 17:01:23
28,Qaanaaq,77.484,-69.3632,-0.69,72,2,7.83,clear sky,GL,2022-10-19 17:01:24
29,New Norfolk,-42.7826,147.0587,46.71,63,58,3.2,broken clouds,AU,2022-10-19 17:01:26
30,Alyangula,-13.8483,136.4192,81.52,77,69,9.98,broken clouds,AU,2022-10-19 17:01:26
31,Klaksvik,62.2266,-6.589,43.72,71,10,7.87,clear sky,FO,2022-10-19 17:01:27
32,Vila Franca Do Campo,37.7167,-25.4333,66.61,67,93,23.11,overcast clouds,PT,2022-10-19 17:01:28
33,Mataura,-46.1927,168.8643,36.57,99,90,2.37,overcast clouds,NZ,2022-10-19 17:01:29
34,Bayir,37.2687,28.2167,63.12,70,60,0.76,broken clouds,TR,2022-10-19 17:01:31
35,Airai,-8.9266,125.4092,64.0,88,100,0.34,overcast clouds,TL,2022-10-19 17:01:31
36,Poronaysk,49.2167,143.1167,39.49,69,7,11.25,clear sky,RU,2022-10-19 17:01:32
